timestamp,count:eiger1m_single_image(fileusage)
2016-05-11 12:21:37,0
2016-05-11 12:21:59,0
2016-06-16 20:52:49,0
2016-06-16 20:54:29,0
2016-06-16 20:54:42,0
2016-07-22 18:35:30,0
2016-10-21 11:08:11,22655262
2016-10-21 11:36:17,757322032
2016-10-21 12:05:53,77389002
2016-10-21 12:08:30,406485195
2016-10-21 14:58:37,73742862
2016-10-21 15:09:47,78603467
2016-10-21 15:21:12,305287465
2016-10-21 15:32:23,22913656
2016-10-21 15:42:50,186419688
2016-10-21 15:54:11,190017454
2016-10-21 23:15:05,22656445
2016-10-21 23:22:52,22655317
2016-10-21 23:23:16,22655503
2016-10-21 23:49:13,22655314
2016-10-21 23:49:36,22657309
2016-10-21 23:49:49,22767430
2016-10-21 23:59:07,24262018
2016-10-22 00:05:13,24623111
2016-10-22 00:07:09,24685868
2016-10-22 00:07:34,24662693
2016-10-22 00:07:50,24631894
2016-10-22 00:09:30,23203932
2016-10-22 00:10:40,22978364
2016-10-22 00:10:50,22741281
2016-10-22 00:11:21,22740464
2016-10-22 00:17:21,24136951
2016-10-22 00:27:02,23102550
2016-10-22 00:32:38,24830061
2016-10-22 00:34:32,23651423
2016-10-22 00:35:17,23651635
2016-10-22 00:36:04,23658619
2016-10-22 00:36:32,23590001
2016-10-22 00:36:49,23504687
2016-10-22 00:37:14,23581081
2016-10-22 00:37:48,23574660
2016-10-22 00:38:22,23602142
2016-10-22 00:38:58,23543482
2016-10-22 00:40:11,23565247
2016-10-22 00:40:28,23545247
2016-10-22 00:40:55,23568804
2016-10-22 00:41:19,23543933
2016-10-22 00:42:11,24820167
2016-10-22 00:42:43,24872888
2016-10-22 00:43:10,24916888
2016-10-22 00:43:34,24902385
2016-10-22 00:43:57,24862285
2016-10-22 00:44:18,24926633
2016-10-22 00:44:44,24899208
2016-10-22 00:45:17,24946396
2016-10-22 00:48:43,24955951
2016-10-22 00:49:33,24757694
2016-10-22 00:50:16,25420215
2016-10-22 00:51:26,25424463
2016-10-22 00:52:00,25382616
2016-10-22 00:52:52,25337317
2016-10-22 00:53:36,25302351
2016-10-22 00:56:07,25024796
2016-10-22 00:56:42,25233290
2016-10-22 00:57:10,25208211
2016-10-22 00:57:55,25276936
2016-10-22 00:58:33,25321326
2016-10-22 13:03:09,22657120
2016-10-22 13:03:21,22657301
2016-10-22 13:04:29,22655566
2016-10-22 13:06:16,22655481
2016-10-22 13:07:27,22662481
2016-10-22 13:10:02,22662190
2016-10-22 13:10:34,22656716
2016-10-22 13:29:03,22655581
2016-10-22 13:29:19,22712162
2016-10-22 13:30:41,22713353
2016-10-22 13:30:51,22712189
2016-10-22 13:30:57,22710153
2016-10-22 13:31:19,22689342
2016-10-22 13:31:35,22684098
2016-10-22 13:31:48,22686600
2016-10-22 13:31:54,22740179
2016-10-22 13:32:08,22655527
2016-10-22 13:32:20,22656282
2016-10-22 13:32:32,22680243
2016-10-22 13:33:26,22681624
2016-10-22 13:33:52,22686021
2016-10-22 13:34:22,22690684
2016-10-22 13:34:43,22698258
2016-10-22 13:35:09,22702472
2016-10-22 13:41:58,22657037
2016-10-22 13:42:26,22723824
2016-10-22 13:42:37,25286799
2016-10-22 13:43:00,25266394
2016-10-22 13:43:15,25277097
2016-10-22 13:44:20,25329941
2016-10-22 13:44:41,25360014
2016-10-22 13:45:30,25439324
2016-10-22 13:45:57,25438630
2016-10-22 13:46:19,25371008
2016-10-22 13:46:23,25359989
2016-10-22 13:46:58,25434880
2016-10-22 13:47:19,25359653
2016-10-22 13:47:41,25361632
2016-10-22 13:48:06,25360365
2016-10-22 13:48:12,25370460
2016-10-22 13:48:29,25361320
2016-10-22 13:48:57,25329796
2016-10-22 13:49:05,25330615
2016-10-22 13:49:35,25287323
2016-10-22 13:50:25,25223696
2016-10-22 13:51:01,25165006
2016-10-22 13:55:19,25223924
2016-10-22 13:56:55,25551136
2016-10-22 13:57:58,25593179
2016-10-22 14:15:30,77857015
2016-10-22 14:29:21,298028207
2016-10-22 14:34:24,298015680
2016-10-22 14:42:22,25052458
2016-10-22 14:54:06,504204374
2016-10-22 14:55:19,24256624
2016-10-22 15:01:48,24265711
2016-10-22 15:09:08,687664621
2016-10-22 15:43:23,24563079
2016-10-22 15:44:06,24870216
2016-10-22 15:44:18,24812609
2016-10-22 15:47:51,24806727
2016-10-22 15:49:29,25180406
2016-10-22 15:49:48,25412972
2016-10-22 16:01:08,327248565
2016-10-22 16:02:48,25161948
2016-10-22 16:03:30,25157639
2016-10-22 16:03:36,25158013
2016-10-22 16:04:16,25153586
2016-10-22 16:49:25,24488572
2016-10-22 17:19:21,24545500
2016-10-22 17:21:14,24542122
2016-10-22 17:21:27,24540780
2016-10-22 17:21:31,24538038
2016-10-22 17:21:59,24507936
