timestamp,count:eiger4m_single_image(fileusage)
2016-05-11 12:17:23,0
2016-05-11 12:17:46,0
2016-06-10 15:41:30,0
2016-06-10 15:44:24,0
2016-06-10 15:45:58,0
2016-06-10 15:46:08,0
2016-06-10 15:47:08,0
2016-06-10 15:48:39,0
2016-06-10 15:50:22,0
2016-06-10 15:50:38,0
2016-06-10 15:51:13,0
2016-06-10 15:51:34,0
2016-06-10 15:51:55,0
2016-06-10 15:52:19,0
2016-06-10 15:52:38,0
2016-06-10 16:11:45,0
2016-06-10 16:20:19,0
2016-06-10 16:21:06,0
2016-06-10 17:05:21,0
2016-06-10 17:06:35,0
2016-06-10 17:06:59,0
2016-06-10 17:21:08,0
2016-06-15 14:17:14,0
2016-06-15 14:18:31,0
2016-06-16 17:04:26,0
2016-06-16 17:05:25,0
2016-06-16 17:10:14,0
2016-06-16 17:10:34,0
2016-06-16 18:00:57,0
2016-06-16 18:01:10,0
2016-06-16 18:02:16,0
2016-06-16 18:27:34,0
2016-06-16 18:28:01,0
2016-06-16 18:37:45,0
2016-06-16 18:37:59,0
2016-06-16 18:38:10,0
2016-06-16 18:47:06,0
2016-06-16 18:47:27,0
2016-06-16 18:48:23,0
2016-06-16 19:05:22,0
2016-06-16 19:06:25,0
2016-06-16 19:06:54,0
2016-06-16 19:07:03,0
2016-06-16 19:11:58,0
2016-06-16 19:33:25,0
2016-06-16 19:33:38,0
2016-06-16 19:35:21,0
2016-06-16 19:35:33,0
2016-06-16 19:35:46,0
2016-06-16 19:36:09,91296610
2016-06-16 19:36:43,0
2016-06-16 19:37:11,0
2016-06-16 19:37:26,0
2016-06-16 19:38:06,0
2016-06-16 19:39:35,0
2016-06-16 19:44:51,0
2016-06-16 19:45:01,0
2016-06-17 10:38:30,0
2016-06-17 10:38:43,0
2016-06-17 10:41:08,0
2016-06-17 10:43:02,0
2016-06-17 10:45:08,0
2016-06-17 10:47:02,0
2016-06-17 10:48:55,0
2016-06-17 10:55:47,0
2016-06-17 10:56:21,0
2016-06-17 11:11:23,0
2016-06-17 17:05:31,0
2016-06-17 17:15:50,0
2016-06-17 17:23:00,0
2016-06-18 12:47:30,0
2016-06-18 12:48:03,0
2016-06-18 12:48:40,0
2016-06-18 12:54:35,0
2016-06-18 12:55:07,0
2016-06-18 13:00:07,0
2016-06-18 13:00:31,0
2016-06-18 13:04:04,0
2016-06-18 13:04:27,0
2016-06-18 13:05:28,0
2016-06-18 13:06:01,0
2016-06-18 13:06:49,0
2016-06-18 13:07:42,0
2016-06-18 13:08:33,0
2016-06-18 13:09:37,0
2016-06-18 13:20:34,0
2016-06-18 13:20:57,0
2016-06-18 13:21:30,0
2016-06-18 13:32:25,0
2016-06-18 13:32:52,0
2016-06-18 13:34:21,0
2016-06-18 13:34:50,0
2016-06-18 13:35:27,0
2016-06-18 13:35:43,0
2016-06-18 13:41:07,0
2016-06-18 13:41:34,0
2016-06-18 13:42:17,0
2016-06-18 13:44:04,0
2016-06-18 13:44:58,0
2016-06-18 13:49:29,0
2016-06-18 13:51:27,0
2016-06-18 13:51:51,0
2016-06-18 13:52:26,0
2016-06-18 13:53:35,0
2016-06-18 13:53:56,0
2016-06-18 13:54:52,0
2016-06-18 13:55:28,0
2016-06-18 13:55:54,0
2016-06-18 13:57:24,0
2016-06-18 13:58:01,0
2016-06-18 13:58:47,0
2016-06-18 13:59:04,0
2016-06-18 13:59:21,0
2016-06-18 13:59:51,0
2016-06-18 14:05:54,0
2016-06-18 14:06:27,0
2016-06-18 14:07:07,0
2016-06-18 14:07:37,0
2016-06-18 14:08:09,0
2016-06-18 14:09:36,0
2016-06-18 14:27:08,0
2016-06-18 14:35:58,0
2016-06-18 15:52:16,0
2016-06-18 15:54:07,0
2016-06-18 15:54:39,0
2016-06-18 16:17:16,0
2016-06-18 16:49:46,0
2016-06-18 16:51:29,0
2016-06-18 16:52:04,0
2016-06-18 16:52:17,0
2016-06-18 16:52:28,0
2016-06-18 16:52:41,0
2016-06-18 16:53:09,0
2016-06-18 16:53:46,0
2016-06-18 16:54:55,0
2016-06-18 16:55:12,0
2016-06-18 16:55:33,0
2016-06-18 16:55:57,0
2016-06-18 16:57:39,0
2016-06-18 16:57:55,0
2016-06-18 16:58:11,0
2016-06-18 17:01:14,0
2016-06-18 17:01:30,0
2016-06-18 17:02:53,0
2016-06-18 17:05:11,0
2016-06-18 17:05:34,0
2016-06-18 17:05:46,0
2016-06-18 17:06:17,0
2016-06-18 17:06:40,0
2016-06-18 17:07:25,0
2016-06-18 17:08:23,0
