timestamp count(file_size)
0 1927894458818
1 1513330652521
2 1644816964974
3 1837836118560
4 1800049094710
5 1373318219267
6 1576264051441
7 967801865726
8 789084805685
9 1063702005182
10 962481824235
11 1940637942601
12 1748116556198
13 1699313390719
14 1564101568341
15 1584677743421
16 1648999008308
17 1903002803087
18 1418727881320
19 1620165018008
20 1899157392793
21 2319603623301
22 2070616522102
23 2122068819881
