timestamp,rel_scan:eiger1m_single_image(fileusage)
2018-02-08 09:30:59,54059760
2018-02-08 19:24:25,540597600
2018-02-08 19:26:39,540597600
2018-02-08 19:30:23,540597600
2018-02-08 19:36:44,540597600
2018-02-08 19:38:45,540597600
2018-02-08 19:40:48,540597600
2018-02-08 19:42:34,540597600
2018-02-08 19:44:29,540597600
2018-02-08 19:46:17,540597600
2018-02-08 19:48:14,540597600
2018-02-08 19:49:56,540597600
2018-02-08 19:51:50,540597600
2018-02-08 19:53:27,540597600
2018-02-08 19:55:02,540597600
2018-02-08 19:57:07,540597600
2018-02-08 20:00:06,540597600
2018-02-08 20:02:27,540597600
2018-02-09 08:21:20,540597600
2018-02-09 08:24:36,540597600
2018-02-09 08:27:06,540597600
2018-02-09 08:33:48,540597600
2018-02-09 08:37:08,540597600
2018-02-09 08:39:28,540597600
2018-02-09 08:42:28,270298800
2018-02-09 08:43:33,270298800
2018-02-09 08:44:32,270298800
2018-02-09 08:45:21,270298800
2018-02-09 08:47:50,540597600
2018-02-09 08:50:13,270298800
2018-02-09 08:51:17,270298800
2018-02-09 08:52:13,270298800
2018-02-09 08:53:03,270298800
2018-02-09 08:53:50,270298800
2018-02-09 08:54:39,270298800
2018-02-09 09:00:29,540597600
2018-02-09 09:02:51,540597600
2018-02-09 09:09:32,810896400
2018-02-09 09:37:25,540597600
2018-02-09 09:40:40,540597600
2018-02-09 09:45:42,540597600
2018-02-09 09:48:35,540597600
2018-02-09 09:50:25,540597600
2018-02-09 09:52:29,540597600
2018-02-09 09:54:21,540597600
2018-02-09 09:56:08,540597600
2018-02-09 09:58:03,540597600
2018-02-09 10:00:26,540597600
2018-02-09 10:02:34,540597600
2018-02-09 10:04:23,540597600
2018-02-09 10:14:55,540597600
2018-02-09 10:16:51,540597600
2018-02-09 10:19:22,540597600
2018-02-09 10:23:14,540597600
2018-02-09 10:29:06,540597600
2018-02-09 10:32:44,540597600
2018-02-09 10:34:53,540597600
2018-02-09 10:36:55,540597600
2018-02-09 10:39:32,540597600
2018-02-09 10:56:43,540597600
2018-02-09 10:58:28,540597600
2018-02-09 11:00:24,540597600
2018-02-09 11:02:42,540597600
2018-02-09 11:04:31,540597600
2018-02-09 17:05:26,540597600
2018-02-09 17:07:37,540597600
2018-02-09 17:09:51,540597600
2018-02-09 17:12:37,540597600
2018-02-09 17:15:02,540597600
2018-02-09 18:57:59,540597600
2018-02-09 18:59:30,540597600
2018-02-09 19:40:19,540597600
2018-02-09 19:41:50,540597600
2018-02-09 19:45:21,540597600
2018-02-09 19:46:51,540597600
2018-02-09 20:10:24,540597600
2018-02-09 20:11:54,540597600
2018-02-09 21:15:13,540597600
2018-02-09 21:16:43,540597600
2018-02-09 22:52:20,540597600
2018-02-09 22:53:51,540597600
2018-02-09 23:57:12,540597600
2018-02-09 23:58:41,540597600
2018-02-10 01:30:52,540597600
2018-02-10 01:32:23,540597600
2018-02-10 02:35:43,540597600
2018-02-10 02:37:15,540597600
2018-02-10 04:06:25,540597600
2018-02-10 04:07:58,540597600
2018-02-10 05:11:17,540597600
2018-02-10 05:12:48,540597600
2018-02-10 10:33:04,540597600
2018-02-10 10:34:37,540597600
2018-02-10 12:54:53,81089640
2018-02-10 12:56:13,540597600
2018-02-10 13:32:36,540597600
2018-02-10 13:34:07,540597600
2018-02-10 13:36:07,297328680
2018-02-10 13:39:54,540597600
2018-02-10 13:42:02,540597600
2018-02-10 13:43:49,540597600
2018-02-10 13:47:15,540597600
2018-02-10 13:49:02,540597600
2018-02-10 13:50:37,540597600
2018-02-10 13:52:59,540597600
2018-02-10 13:54:43,540597600
2018-02-10 13:57:21,540597600
2018-02-10 13:59:26,540597600
2018-02-10 14:09:58,540597600
2018-02-10 14:11:30,540597600
2018-02-10 14:13:34,540597600
2018-02-10 14:15:27,540597600
2018-02-10 14:17:47,540597600
2018-02-10 14:19:48,540597600
2018-02-10 14:23:35,513567720
2018-02-10 14:25:47,540597600
2018-02-10 14:29:00,540597600
2018-02-10 15:03:49,540597600
2018-02-10 15:05:18,540597600
2018-02-10 16:08:41,540597600
2018-02-10 16:10:11,540597600
2018-02-10 19:07:53,540597600
2018-02-10 19:09:42,486537840
2018-02-10 19:32:17,540597600
2018-02-10 19:34:02,540597600
2018-02-10 20:37:29,540597600
2018-02-10 20:39:12,540597600
2018-02-10 21:59:31,540597600
2018-02-10 22:01:15,540597600
2018-02-10 23:04:45,540597600
2018-02-10 23:06:28,540597600
2018-02-11 00:41:02,540597600
2018-02-11 00:42:46,540597600
2018-02-11 01:46:16,540597600
2018-02-11 01:47:58,540597600
2018-02-11 03:20:35,540597600
2018-02-11 03:22:20,540597600
2018-02-11 04:25:50,540597600
2018-02-11 04:27:35,540597600
2018-02-11 06:02:53,540597600
2018-02-11 06:04:35,540597600
2018-02-11 07:08:05,540597600
2018-02-11 07:09:48,540597600
2018-02-11 09:03:06,540597600
2018-02-11 09:04:49,540597600
2018-02-11 10:08:21,540597600
2018-02-11 10:10:04,540597600
2018-02-11 14:31:22,540597600
2018-02-11 14:37:19,540597600
2018-02-11 14:39:34,540597600
2018-02-11 14:45:35,540597600
2018-02-11 14:47:36,540597600
2018-02-11 15:01:53,540597600
2018-02-11 15:04:57,540597600
2018-02-11 15:07:34,540597600
2018-02-11 15:09:18,540597600
2018-02-11 15:11:18,540597600
2018-02-11 15:24:42,540597600
2018-02-11 15:26:46,540597600
2018-02-11 15:28:51,540597600
2018-02-11 15:31:04,540597600
2018-02-11 15:33:51,540597600
2018-02-11 16:01:32,540597600
2018-02-11 16:03:17,540597600
2018-02-11 17:16:58,540597600
2018-02-11 17:18:39,540597600
2018-02-13 16:48:57,540597600
2018-02-13 17:00:56,540597600
2018-02-13 17:10:23,405448200
2018-02-13 17:13:25,540597600
2018-02-13 17:18:10,540597600
2018-02-13 17:21:32,540597600
2018-02-13 17:24:46,540597600
2018-02-13 17:28:06,540597600
2018-02-13 17:31:06,540597600
2018-02-13 17:33:14,540597600
2018-02-13 17:35:19,540597600
2018-02-13 17:37:32,270298800
2018-02-13 17:38:57,540597600
2018-02-13 17:42:07,540597600
2018-02-13 17:45:47,540597600
2018-02-13 17:48:12,27029880
2018-02-13 17:50:10,540597600
2018-02-13 18:43:06,540597600
2018-02-13 18:45:57,540597600
2018-02-13 18:56:05,270298800
2018-02-13 19:03:42,270298800
2018-02-13 19:13:44,270298800
2018-02-13 19:15:55,270298800
2018-02-13 19:22:03,270298800
2018-02-13 20:12:20,540597600
2018-02-13 20:18:27,540597600
2018-02-14 00:04:56,189209160
2018-02-14 00:14:57,270298800
2018-02-14 00:23:05,270298800
2018-02-14 00:30:18,270298800
2018-02-14 00:34:16,270298800
2018-02-14 00:38:49,540597600
2018-02-14 00:46:24,540597600
2018-02-14 00:49:58,540597600
2018-02-14 00:51:55,540597600
2018-02-14 00:55:16,540597600
2018-02-14 00:59:26,540597600
2018-02-14 01:01:10,540597600
2018-02-14 01:06:27,540597600
2018-02-14 01:09:11,540597600
2018-02-14 01:12:47,540597600
2018-02-14 01:17:24,540597600
2018-02-14 01:20:35,540597600
2018-02-14 01:23:29,540597600
2018-02-14 01:26:35,540597600
2018-02-14 01:30:31,540597600
2018-02-14 01:33:05,540597600
2018-02-14 08:26:34,540597600
2018-02-14 08:34:07,540597600
2018-02-14 08:38:18,540597600
2018-02-14 08:42:24,540597600
2018-02-14 08:46:41,378418320
2018-02-14 08:53:04,540597600
2018-02-14 08:55:56,540597600
2018-02-14 08:58:56,540597600
2018-02-14 09:17:45,540597600
2018-02-14 09:21:01,540597600
2018-02-14 09:23:46,540597600
2018-02-14 09:26:18,540597600
2018-02-14 09:41:07,81089640
2018-02-14 09:44:42,1081195200
2018-02-14 10:47:46,540597600
2018-02-14 10:50:40,540597600
2018-02-14 10:53:59,1081195200
2018-02-15 18:23:41,540597600
2018-02-15 18:26:23,540597600
2018-02-15 18:28:47,540597600
2018-02-15 18:31:39,540597600
2018-02-15 18:34:05,540597600
2018-02-15 18:36:12,540597600
2018-02-15 18:38:50,540597600
2018-02-15 18:41:06,540597600
2018-02-15 18:43:18,540597600
2018-02-15 18:46:04,540597600
2018-02-15 18:48:13,540597600
2018-02-15 19:06:03,540597600
2018-02-15 23:01:33,540597600
2018-02-15 23:06:05,540597600
2018-02-15 23:08:58,540597600
2018-02-15 23:19:20,540597600
2018-02-16 18:39:34,540597600
2018-02-16 18:43:42,540597600
