timestamp,rel_scan:eiger4m_single_image(fileusage)
2018-01-25 09:47:12,914484068
2018-01-25 11:30:53,1827352351
2018-01-25 11:33:47,1827355350
2018-01-25 11:38:26,1827385191
2018-01-25 11:40:59,1827397063
2018-01-25 11:43:11,1827384485
2018-01-25 11:48:41,1827336304
2018-01-25 11:55:41,913676705
2018-01-25 11:59:19,913666692
2018-01-25 12:01:15,913673758
2018-01-25 12:05:10,1827369960
2018-01-25 12:12:17,913682478
2018-01-25 12:13:25,913705235
2018-01-25 12:14:24,913697981
2018-01-25 12:15:17,913757805
2018-01-25 12:16:06,913685285
2018-01-25 12:16:56,913774026
2018-01-26 10:56:37,913668094
2018-01-26 11:02:18,913673491
2018-01-26 11:04:59,913705290
2018-01-26 11:06:57,913670312
2018-01-26 11:10:25,913672989
2018-01-26 11:13:06,913677109
2018-01-26 11:14:14,913668995
2018-01-26 11:15:15,913675365
2018-01-26 11:16:09,913738208
2018-01-26 11:16:57,913690163
2018-01-26 11:17:46,913785581
2018-01-26 16:24:44,639570043
2018-01-26 16:29:25,913676228
2018-01-26 16:30:34,913686694
2018-01-26 16:31:37,913677620
2018-01-26 16:32:34,913788157
2018-01-26 16:33:27,913708981
2018-01-26 16:34:20,913668350
2018-01-27 10:12:36,913677998
2018-01-27 10:13:45,913690324
2018-01-27 10:14:51,913700289
2018-01-27 10:15:47,913782385
2018-01-27 10:16:41,913690686
2018-01-27 10:17:35,913758118
2018-01-27 10:25:46,913675302
2018-01-27 10:26:54,913720111
2018-01-27 10:27:58,913679667
2018-01-27 10:28:55,913778503
2018-01-27 10:29:49,913692482
2018-01-27 10:30:42,913796277
2018-01-27 10:32:31,2741427939
2018-01-27 14:22:54,274101886
2018-01-27 14:25:20,913686379
2018-01-27 14:26:28,913720870
2018-01-27 14:30:46,2741007169
2018-01-27 14:42:12,913673170
2018-01-27 14:43:02,913706700
2018-01-27 14:44:27,913680987
2018-01-27 14:45:36,913709494
2018-01-27 14:46:55,913714598
2018-01-27 14:47:48,913726965
2018-01-27 14:50:14,913687315
2018-01-27 14:51:12,913712386
2018-01-27 14:55:40,913701947
2018-01-27 14:59:17,2741433081
2018-01-27 15:05:49,913887832
2018-01-27 15:09:43,913873914
2018-01-27 15:14:04,913675995
2018-01-27 15:15:14,913671185
2018-01-27 15:16:19,913683347
2018-01-27 15:17:14,913823161
2018-01-27 15:18:04,913625511
2018-01-27 15:18:56,913864197
2018-01-27 15:20:22,913732023
2018-01-27 15:21:13,913878079
2018-01-27 17:25:17,913674538
2018-01-27 17:26:26,913679865
2018-01-27 17:27:31,913676064
2018-01-27 17:28:28,913690739
2018-01-27 17:29:17,913679868
2018-01-27 17:30:12,913701128
2018-01-27 19:42:43,913674757
2018-01-27 19:43:50,913689790
2018-01-27 19:44:52,913675765
2018-01-27 19:45:47,913707579
2018-01-27 19:46:36,913692879
2018-01-27 19:47:27,913746869
2018-01-27 21:25:23,913684160
2018-01-27 21:26:32,913731575
2018-01-27 21:27:34,913684002
2018-01-27 21:28:30,913810777
2018-01-27 21:29:24,913712978
2018-01-27 21:30:17,913862673
2018-01-27 23:25:43,913674794
2018-01-27 23:26:53,913677701
2018-01-27 23:27:55,913677374
2018-01-27 23:28:50,913689259
2018-01-27 23:29:36,913679191
2018-01-27 23:30:25,913696959
2018-01-28 03:13:47,913938478
2018-01-28 03:16:21,913873506
2018-01-28 03:19:17,913668714
2018-01-28 03:20:29,913683303
2018-01-28 03:21:34,91368023
2018-01-28 03:23:34,913677471
2018-01-28 03:24:41,913682425
2018-01-28 03:25:43,913678525
2018-01-28 03:26:40,913695322
2018-01-28 03:27:32,913682886
2018-01-28 03:28:22,913705636
2018-01-28 05:20:11,913675280
2018-01-28 05:21:19,913684157
2018-01-28 05:22:18,913676302
2018-01-28 05:23:11,913689300
2018-01-28 05:23:59,913682605
2018-01-28 05:24:49,913702748
2018-01-28 05:28:18,913677784
2018-01-28 05:29:06,913696440
2018-01-28 06:53:16,913680820
